월,요일,시간대,역명,mean,std
1월,금요일,14-15시,반석,73.17,10.0287
1월,금요일,14-15시,서대전네거리,68.11,8.236
1월,금요일,14-15시,시청,98.34,10.6036
1월,금요일,14-15시,신흥,17.8,3.2459
1월,금요일,14-15시,오룡,40.53,7.9883
1월,금요일,14-15시,용문,80.68,11.7082
1월,금요일,14-15시,월드컵경기장,27.99,5.5617
1월,금요일,14-15시,월평,40.47,5.8568
1월,금요일,14-15시,유성온천,118.82,9.148
1월,금요일,14-15시,정부청사,76.79,13.1244
1월,금요일,14-15시,중구청,24.98,1.3612
1월,금요일,14-15시,중앙로,97.27,10.9049
1월,금요일,14-15시,지족,23.32,6.1817
1월,금요일,14-15시,탄방,52.76,4.5071
1월,금요일,14-15시,판암,45.39,7.4511
1월,금요일,14-15시,현충원,20.92,6.3482
1월,금요일,15-16시,갈마,41.33,7.7215
1월,금요일,15-16시,갑천,11.54,2.1287
1월,금요일,15-16시,구암,46.49,16.3236
1월,금요일,15-16시,노은,71.66,22.0798
1월,금요일,15-16시,대동,44.71,4.212
1월,금요일,15-16시,대전,181.31,25.0296
1월,금요일,15-16시,반석,83.35,8.2733
1월,금요일,15-16시,서대전네거리,79.33,11.5062
1월,금요일,15-16시,시청,110.68,14.5023
1월,금요일,15-16시,신흥,21.43,4.8447
1월,금요일,15-16시,오룡,50.5,7.0781
1월,금요일,15-16시,용문,93.35,10.4668
1월,금요일,15-16시,월드컵경기장,32.41,6.6239
1월,금요일,15-16시,월평,50.88,9.5644
1월,금요일,15-16시,유성온천,129.17,8.0898
1월,금요일,15-16시,정부청사,91.78,27.7673
1월,금요일,15-16시,중구청,28.27,4.4088
1월,금요일,15-16시,중앙로,107.5,14.2711
1월,금요일,15-16시,지족,29.22,7.1788
1월,금요일,15-16시,탄방,64.82,12.0401
1월,금요일,15-16시,판암,54.82,8.8058
1월,금요일,15-16시,현충원,21.66,5.1429
1월,금요일,16-17시,갈마,52.33,27.9017
1월,금요일,16-17시,갑천,14.09,2.1184
1월,금요일,16-17시,구암,48.42,12.7443
1월,금요일,16-17시,노은,70.33,7.2237
1월,금요일,16-17시,대동,55.64,12.5243
1월,금요일,16-17시,대전,214.24,32.8852
1월,금요일,16-17시,반석,111.24,12.7749
1월,금요일,16-17시,서대전네거리,87.72,10.3623
1월,금요일,16-17시,시청,128.27,19.2925
1월,금요일,16-17시,신흥,26.98,5.5429
1월,금요일,16-17시,오룡,52.97,5.5209
1월,금요일,16-17시,용문,103.98,7.499
1월,금요일,16-17시,월드컵경기장,40.0,5.2326
1월,금요일,16-17시,월평,59.82,11.2007
1월,금요일,16-17시,유성온천,147.83,11.7528
1월,금요일,16-17시,정부청사,112.24,40.8709
1월,금요일,16-17시,중구청,30.17,6.8553
1월,금요일,16-17시,중앙로,114.67,14.197
1월,금요일,16-17시,지족,43.72,34.3888
1월,금요일,16-17시,탄방,62.1,8.7331
1월,금요일,16-17시,판암,59.2,9.3544
1월,금요일,16-17시,현충원,26.31,7.5237
1월,금요일,17-18시,갈마,54.59,15.3042
1월,금요일,17-18시,갑천,16.88,1.4093
1월,금요일,17-18시,구암,59.51,9.5766
1월,금요일,17-18시,노은,86.88,7.6233
1월,금요일,17-18시,대동,65.66,7.5485
1월,금요일,17-18시,대전,223.73,30.478
1월,금요일,17-18시,반석,147.35,22.7171
1월,금요일,17-18시,서대전네거리,112.66,14.1902
1월,금요일,17-18시,시청,176.06,46.0738
1월,금요일,17-18시,신흥,28.43,4.527
1월,금요일,17-18시,오룡,74.89,8.8598
1월,금요일,17-18시,용문,120.7,9.7598
1월,금요일,17-18시,월드컵경기장,46.53,6.259
1월,금요일,17-18시,월평,66.13,10.1897
1월,금요일,17-18시,유성온천,192.76,27.4894
1월,금요일,17-18시,정부청사,156.08,63.1724
1월,금요일,17-18시,중구청,42.17,11.9311
1월,금요일,17-18시,중앙로,136.12,11.092
1월,금요일,17-18시,지족,44.26,16.0507
1월,금요일,17-18시,탄방,88.0,20.8221
1월,금요일,17-18시,판암,65.13,8.0042
1월,금요일,17-18시,현충원,32.54,8.8318
1월,금요일,18-19시,갈마,70.5,26.0794
1월,금요일,18-19시,갑천,25.04,5.8699
1월,금요일,18-19시,구암,71.05,15.4536
1월,금요일,18-19시,노은,111.21,21.3125
1월,금요일,18-19시,대동,86.82,18.1212
1월,금요일,18-19시,대전,246.17,39.1301
1월,금요일,18-19시,반석,204.38,29.3245
1월,금요일,18-19시,서대전네거리,159.76,38.023
1월,금요일,18-19시,시청,242.73,72.3008
1월,금요일,18-19시,신흥,46.06,19.0766
1월,금요일,18-19시,오룡,121.43,9.5016
1월,금요일,18-19시,용문,159.63,55.6516
1월,금요일,18-19시,월드컵경기장,64.84,9.4471
1월,금요일,18-19시,월평,93.85,18.5707
1월,금요일,18-19시,유성온천,260.12,79.0348
1월,금요일,18-19시,정부청사,238.1,128.0647
1월,금요일,18-19시,중구청,62.31,16.7023
1월,금요일,18-19시,중앙로,181.08,11.2189
1월,금요일,18-19시,지족,66.12,25.9554
1월,금요일,18-19시,탄방,133.39,20.6226
1월,금요일,18-19시,판암,91.04,18.6127
1월,금요일,18-19시,현충원,40.83,4.0508
1월,금요일,19-20시,갈마,38.75,14.4012
1월,금요일,19-20시,갑천,11.86,3.9104
1월,금요일,19-20시,구암,34.7,5.5144
1월,금요일,19-20시,노은,60.05,12.0736
1월,금요일,19-20시,대동,37.43,9.3402
1월,금요일,19-20시,대전,153.93,28.3865
1월,금요일,19-20시,반석,82.82,10.6279
1월,금요일,19-20시,서대전네거리,69.6,19.1063
1월,금요일,19-20시,시청,91.75,15.3035
1월,금요일,19-20시,신흥,22.7,11.3854
1월,금요일,19-20시,오룡,44.13,7.122
1월,금요일,19-20시,용문,80.02,21.4199
1월,금요일,19-20시,월드컵경기장,26.89,5.0714
1월,금요일,19-20시,월평,44.32,8.7259
1월,금요일,19-20시,유성온천,129.85,31.3277
1월,금요일,19-20시,정부청사,74.99,20.1745
1월,금요일,19-20시,중구청,20.51,3.8074
1월,금요일,19-20시,중앙로,96.95,10.1187
1월,금요일,19-20시,지족,21.99,2.9767
1월,금요일,19-20시,탄방,49.28,4.09
1월,금요일,19-20시,판암,37.65,11.9144
1월,금요일,19-20시,현충원,16.99,3.2116
1월,금요일,20-21시,갈마,27.48,11.0719
1월,금요일,20-21시,갑천,8.1,2.8732
1월,금요일,20-21시,구암,23.23,3.6857
1월,금요일,20-21시,노은,40.05,4.2511
1월,금요일,20-21시,대동,27.09,7.462
1월,금요일,20-21시,대전,113.51,19.818
1월,금요일,20-21시,반석,60.41,10.5475
1월,금요일,20-21시,서대전네거리,46.67,10.0608
1월,금요일,20-21시,시청,73.34,24.9288
1월,금요일,20-21시,신흥,14.6,7.3294
1월,금요일,20-21시,오룡,27.07,6.7493
1월,금요일,20-21시,용문,56.1,9.4783
1월,금요일,20-21시,월드컵경기장,18.09,4.8427
1월,금요일,20-21시,월평,32.09,6.4695
1월,금요일,20-21시,유성온천,90.01,13.9889
1월,금요일,20-21시,정부청사,50.93,14.2877
1월,금요일,20-21시,중구청,13.25,2.0539
1월,금요일,20-21시,중앙로,71.36,24.2123
1월,금요일,20-21시,지족,14.76,4.2724
1월,금요일,20-21시,탄방,33.16,4.6817
1월,금요일,20-21시,판암,28.09,10.585
1월,금요일,20-21시,현충원,12.02,2.9981
1월,금요일,21-22시,갈마,25.25,11.0346
1월,금요일,21-22시,갑천,7.17,3.2059
1월,금요일,21-22시,구암,18.45,5.7142
1월,금요일,21-22시,노은,39.9,2.7932
1월,금요일,21-22시,대동,26.68,13.2194
1월,금요일,21-22시,대전,92.48,37.5855
1월,금요일,21-22시,반석,58.92,13.6695
1월,금요일,21-22시,서대전네거리,42.88,10.8652
1월,금요일,21-22시,시청,69.25,32.3943
1월,금요일,21-22시,신흥,13.79,8.9202
1월,금요일,21-22시,오룡,25.61,8.9815
1월,금요일,21-22시,용문,54.44,6.0498
1월,금요일,21-22시,월드컵경기장,19.21,5.1276
1월,금요일,21-22시,월평,29.74,7.3847
1월,금요일,21-22시,유성온천,88.27,16.4449
1월,금요일,21-22시,정부청사,45.42,12.0513
1월,금요일,21-22시,중구청,11.14,1.6548
1월,금요일,21-22시,중앙로,62.5,31.5845
1월,금요일,21-22시,지족,15.41,4.5688
1월,금요일,21-22시,탄방,31.6,3.1623
1월,금요일,21-22시,판암,25.53,14.6833
1월,금요일,21-22시,현충원,10.73,4.8148
1월,금요일,22-23시,갈마,20.5,11.173
1월,금요일,22-23시,갑천,4.68,2.7075
1월,금요일,22-23시,구암,14.58,6.4795
1월,금요일,22-23시,노은,35.34,4.4999
1월,금요일,22-23시,대동,23.28,13.216
1월,금요일,22-23시,대전,53.5,25.4191
1월,금요일,22-23시,반석,60.6,17.0929
